nombre,tipo,direccion,telefono,redesSociales,horario,menues_especiales,tiendaOnline,extras,imagen
LA TIENDA. ACTITUD SALUDABLE,"Café - Bar natural. (Espectáculos programados).",Calle 89 Nº 360,(02262) 15645224,"IG: la_tienda_neco | FB: La Tienda Neco","De martes a domingo de 8 a 20 horas.",vegano | vegetariano | hipertenso | diabetico | sin tacc,"wifi / mascotas",
"LILLO`S CAFÉ, HELADOS Y TIENDA DE CROISSANT","Heladería - Café Bar | Panadería y sándwich | almuerzos",Av. 10 Nº 5246,(02262) 15320233,"IG: lillos_heladosycafe | FB: lillos_heladosycafe","Todos los días de 8 a 21 horas.",vegetariano | infantil | hipertenso | diabetico | sin tacc,"mascotas",
LOS PINOS,"Café | Restobar (juegos infantiles, espectáculos programados)",Av. Pinolandia Nº 895,(02262) 15571157,"FB: Los Pinos Snack Bar | IG: lospinosneco","Todos los días de 08 a 23.30 horas.",vegano | vegetariano | infantil | hipertenso | diabetico | sin tacc,"wifi | mascotas",
LOS PITY´S,"Restaurant",Calle 533 Nº 226,(02262) 15366979,IG: lospity,"De jueves a sábado, de noche.",vegetariano | hipertenso | sin tacc,"wifi | mascotas",
LOS TILOS PIZZERÍA,"Pizzería | Empanadas",Av 59 Nº 2422,(02262) 15530063,"FB: Los Tilos | IG: lostilospizza","Lunes, miercoles a domingo de noche | martes cerrado",vegano | vegetariano,,wifi,
MARE RESTOBAR,"Restaurante",Av. 502 N° 1685,(02262) 15590101,IG: mare.restobar,"De viernes a domingo mediodia y noche.",vegano | vegetariano | infantil | hipertenso | diabetico | sin tacc,,wifi,
MEDITERRÁNEO,"Restaurant | Cervecería -Picadas - Tapas | Parrilla",Calle 4 Nº 4352,,"IG: mediterresto | FB: Mediterráneo Resto","Sábado por la noche.",vegetariano | infantil | hipertenso | diabetico | sin tacc,"wifi | mascotas",
MI CANTINA ,"Pescados - Mariscos | Parrilla | Restaurant",Calle 57 Nº 2760,(02262) 15594681,"IG: micantinanecochea FB: Alberto Salvador (MI Cantina)","Todos los días de 12 a 15 horas y de 20 a 00 horas.",infantil | sin tacc,,wifi,
MICHELLE,"Comidas rápidas",Av. 2 N° 4136,(02262) 15334258,IG: michelle.foodandplay,"Todos los días de 12 a 16 horas y de 19 a 00 horas.",vegetariano | infantil | sin tacc,,wifi,
MILKATTO,"Heladeria",Calle 83 Nº 261,,IG: heladeria_milkatto,"De lunes a jueves de 12 a 00 horas | viernes a domingo de 12 a 01 horas.",vegano | vegetariano | infantil | sin tacc,,wifi,
MONET,"Resto | Bar",Calle 4 Nº 4111,(02262) 15578392,"FB: Monet Restó Bar | IG: monet.resto",,vegetariano | infantil | hipertenso | diabetico | sin tacc,"wifi | mascotas",
MUNICH,"Restobar",Calle 4 Nº 3930,(02262) 15359123,IG: munich.comidas,"Lunes, miercoles, jueves y viernes de 17 a 01 horas / sbado y domingo todo el dia",vegano | vegetariano | infantil | diabetico | sin tacc,,wifi,
OLDER CAFÉ RESTO ,"Café | Restobar",Calle 83 Nº 251,(02262) 15494945,"FB: Older Resto | IG: olderresto","Todos los días de 8 a 14 horas.",vegano | vegetariano | infantil | hipertenso | diabetico | sin tacc,"wifi | mascotas",
PARADA GROS,"Cafeteria",Av. 42 Nº 5233,(02262) 15663532,IG: parada.gros,"Todos los dias de 08 a 13 horas y de 15.30 a 20.00 horas | martes cerrado",vegano | vegetariano | insfantil | hipertenso | sin tacc,,wifi,
PARADOR RUTA 227,"Parrilla",Av. Circunvalación y RP 227,(02262) 15247146,IG: parador_ruta227,"Todos los días de 12 a 15 horas y de 20 a 00 horas.",vegano | vegetariano | infantil | hipertenso | diabetico | sin tacc,,,
PARADOR NEPTUNO ,"Café | Bar | Restobar | Comidas rápidas",Av. 2 y Av. Pinolandia,,"IG: parador.neptuno","De martes a sabado de 08 a 21 horas.",vegano | vegetariano | infantil | hipertenso | sin tacc,,wifi,
PASTELERO CAFÉ BOUTIQUE,"Café",Av. 59 esq. 48 | Av. 10 Nº 4127,"(02262) 15549773 | 15547050","FB: el pastelero artesanal | IG: elpasteleroartesanal","Todos los días de 7 a 21 horas.",vegetariano | sin tacc,,wifi,
PEPERONCINO ,"Internacional (italiano)",Calle 61 Nº 2280,(02262) 15506326,"FB: peperoncino necochea | IG: peperoncinonecochea","De jueves a sábado de 20 a 00 horas. Domingo de 12 a 15 horas.",vegano | vegetariano | infantil | sin tacc,,wifi,
PIPELINE,"Restobar",Av. 502 N° 1645,(02262) 15583028,"IG: pipelinerestobar | FB: pipeline restobar","De martes a domingo de 9 a 00.30 horas.",vegano | vegetariano | sin tacc,,wifi,
PLAZA ROCHA,"Café | Bar | Variado",Calle 61 N° 2545,(02262) 15653869,IG: plazarocha.necochea,"De lunes a sábado de 9 a 15 horas. De martes a sábado de 17 a 23 horas. Lunes de tarde y domingo, cerrado.",celiacos | hipertensos | diabéticos| veganos | vegetarianos,,wifi,
PRIMERA JUNTA,"Cervecería | Picadas | Tapas | Restobar",Calle 64 N° 2850,(02262) 15230970,IG: primerajunta.necochea,"De jueves a sábado de 18 horas a cierre.",,,wifi,
PULE,"Pescados y Mariscos | Internacional",Calle 36 N° 3153,(02262) 15487205,IG: pule.mar.fuego,"De jueves a sábado desde 20.30 horas",vegano | vegetariano | hipertenso | sin tacc,,wifi,
PUNTO CARAMELO,"Café - Bar | Heladería",Calle 83 Nº 396,(02262) 526699,FB: Punto Caramelo Cafetería Heladería,"Todos los días de 7 a 21 horas.",vegano | vegetariano | hipertenso | diabetico | sin tacc,"wifi | mascotas",
QUEQUEN CHICO RESTO,"Pescado | Mariscos",Calle 563 bis y calle 504,(02262) 15470730,"FB: quequen chico restaurante | IG: quequen chico restaurante","Fines de semana de 21 a 01 horas.",vegano | vegetariano | hipertenso | diabetico | sin tacc,,wifi,
ROYERS BEER HOUSE,"Café-bar | Cervecería-picadas-tapas | Comidas rápidas",Calle 4 N° 4214,(02262) 15577517,IG: royerscerveria,"Todos los dias de 18 a 02 horas.",vegetariano | infantil | sin tacc,,wifi,
SARDIÑOLA,"Restobar",Calle 67 Nº 2902,(02262) 497780,IG: la.sardiñola,"De miercoles a domingo y feriados de 19 a 00 horas",vegano | vegetariano | infantil | hipertensos | diabeticos | sin tacc,,wifi,
SANTOS,"Parrilla",Calle 60 Nº 2701,"(02262) 526406 | (02262) 519741","IG. santos.parrilla | FB: santos.cafe","Lunes a sábado de 8 a 00 horas.",vegano | vegetariano | infantil | hipertenso | diabetico | sin tacc,"wifi | mascotas",
SEA BAGLES,"Cafe",Calle 64 Nº 3172,(02262) 470750,IG: seabaglescentro,"De lunes a sabado de 07.30 a 23.30 horas.",vegano | vegetariano | infantil | hipertenso | sin tacc,,wifi,
SCALA ,"Café",Calle 61 Nº 2901,,IG: scala.necochea,"Lunes a sábados de 07.30 a 22.00 horas.",vegano | vegetariano | infantil | hipertenso | diabetico | sin tacc,"wifi | mascotas",
SOLCHAGA,"Variado",Calle 62 Nº 2822,(02262) 1555-9237,"FB: Hotelrestaurantsolchaga | IG: solchagahotelyrestaurante","De miércoles a lunes de 12 a 15 horas y de 20.30 a 00 horas.",vegetariano | infantil | hipertenso | diabetico | sin tacc,,wifi,
SU CANTINA,"Parrilla | Pescados y mariscos | Variado",Calle 83 N° 346,(02262) 15522710,FB: Su Cantina,"Lunes y martes cerrado al mediodia / miercoles a domingo de 12 a 15 / lunes a domingo de 20 a 00 horas",vegano | vegetariano | infantil | hipertenso | diabetico | sin tacc,,wifi,
SUSHI RESTOBAR,"Restobar",Av. 10 y Av. 91,(02262) 15417078,IG: sushihousenecochea,"Todos los días de 19 a 01 horas.",vegano | vegetariano | infantil | sin tacc,,wifi,
TABERNA ESPAÑOLA,"Restobar | Mariscos",Calle 83 Nº 350,(02262) 15593831,IG: taberna_espanola,"De viernes a domingo mediodia y noche",vegano | vegetariano | infantil | hipertenso | diabetico | sin tacc,"mascotas",
TEMPO,"Comidas rápidas | Pizzería - Empanadas",Calle 83 Nº 310,(02262) 425100,"IG: pizzatempo | FB: pizza tempo",,vegetariano | infantil | hipertenso | diabetico | sin tacc,"wifi | mascotas",
TOM JONES BAR,"Cervecería-picadas-tapas | Restobar",Calle 4 y 87,(02262) 15645070,IG: tomjonesbarok,"Viernes, sábado y feriados de 23 a 5.30 horas.",vegetariano | sin tacc,,wifi,
TULIPA,"Cervecería-picadas-tapas | Café-bar",Av. 59 N° 1114,(02262) 15251645,IG: tulipa.taberna,"Todos los días desde 18 horas.",,,wifi,
VIEJA ALDEA,"Parrilla",Calle 68 N° 3040,"(02262) 15355292 | 15414976",IG: parrillaviejaaldea,"De martes a sábado de 20.30 a 23.30 horas.",,,wifi,
VIEJA ESTACIÓN,"Cervecería - Picadas - Tapas | Pizzas - Empanadas",Calle 87 Nº 287,(02262) 15527577,"IG: viejaestacion | FB: vieja estacion cerveza artesanal","Lunes, martes, jueves y domingo de 19 a 2 horas. Miércoles de 19 a 3 horas. Viernes y sábado de 19 a 4 horas.",vegano | vegetariano | infantil | sin tacc,"wifi | mascotas",
VULCANO PIZZAS,"Pizzería y empanadas (Espectáculos programados)",Calle 537 Nº 198,(02262) 15302810,"IG: vulcano_pizzeria_cervecería | FB: vulcano pizza house",,vegano | vegetariano | infantil | hipertenso | diabetico | sin tacc,"wifi | mascotas",
